Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
45047384,The House in the Cerulean Sea,T.J. Klune,"Klune, T.J.",,"=""""","=""""",0,4.43,Tor Books,Kindle Edition,394,2020,2020,,2023/02/27,to-read,to-read (#37),to-read,,,,0,0
464260,The Fire Next Time,James Baldwin,"Baldwin, James",,"=""067974472X""","=""9780679744726""",0,4.54,Vintage,Paperback,106,1993,1963,,2023/02/27,to-read,to-read (#36),to-read,,,,0,0
16842,A Single Man,Christopher Isherwood,"Isherwood, Christopher",,"=""0816638624""","=""9780816638628""",0,4.08,Univ Of Minnesota Press,Paperback,186,2001,1964,,2023/02/27,to-read,to-read (#35),to-read,,,,0,0
72003,Angels in America,Tony Kushner,"Kushner, Tony",,"=""1559362316""","=""9781559362313""",0,4.28,Theatre Communications Group,Paperback,304,2003,1993,,2023/02/27,to-read,to-read (#34),to-read,,,,0,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",0,4.44,Atria Books,Hardcover,389,2017,2017,,2023/02/27,to-read,to-read (#33),to-read,,,,0,0
58484070,When You Call My Name,Tucker Shaw,"Shaw, Tucker",,"=""125062486X""","=""9781250624864""",0,4.24,Henry Holt and Co. (BYR),Hardcover,368,2022,2022,,2023/02/27,to-read,to-read (#32),to-read,,,,0,0
25686927,"Him (Him, #1)",Sarina Bowen,"Bowen, Sarina",Elle Kennedy,"=""1942444079""","=""9781942444077""",0,4.26,Rennie Road Books,ebook,360,2015,2015,,2023/02/27,to-read,to-read (#31),to-read,,,,0,0
22929741,The Argonauts: A Memoir,Maggie Nelson,"Nelson, Maggie",,"=""1555977073""","=""9781555977078""",0,4.02,Graywolf Press,Hardcover,160,2015,2015,,2023/02/24,to-read,to-read (#30),to-read,,,,0,0
50223295,intoxicated heart,Ben Esqueda,"Esqueda, Ben",,"=""1695216067""","=""9781695216068""",0,4.29,Independently published,Paperback,214,2019,,,2023/02/24,to-read,to-read (#29),to-read,,,,0,0
477035,In the Absence of Men,Philippe Besson,"Besson, Philippe",Frank Wynne,"=""0786711612""","=""9780786711611""",0,4.02,Carroll & Graf,Hardcover,180,2003,2001,,2023/02/24,to-read,to-read (#28),to-read,,,,0,0
33606119,Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,"Eddo-Lodge, Reni",,"=""140887055X""","=""9781408870556""",0,4.39,Bloomsbury Circus,Hardcover,249,2017,2017,,2023/02/24,to-read,to-read (#27),to-read,,,,0,0
8143909,Foster,Claire Keegan,"Keegan, Claire",,"=""0571255655""","=""9780571255658""",0,4.33,Faber & Faber,Paperback,89,2010,2007,,2023/02/24,to-read,to-read (#26),to-read,,,,0,0
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",0,4.14,Signet Classics,Mass Market Paperback,449,2004,1868,,2023/02/24,to-read,to-read (#25),to-read,,,,0,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""""","=""""",0,4.34,Doubleday,Hardcover,720,2015,2015,,2022/10/12,currently-reading,currently-reading (#1),currently-reading,,,,1,0
32913135,Spoiler Alert: The Hero Dies,Michael Ausiello,"Ausiello, Michael",,"=""1501134965""","=""9781501134968""",4,4.30,Atria Books,Hardcover,313,2017,2017,2022/12/21,2022/11/21,,,read,,,,1,0
41150487,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",,"=""""","=""""",5,4.11,St. Martin's Griffin,Paperback,423,2019,2019,,2022/10/12,,,read,,,"My fav book ever so far! Has everything from politics, British royalty, hidden and secret love and meet-ups, includes sex scenes, diversity in race/sexual orientation, powerful women leaders (mom is president), close friends (sister and friend), friend does modeling for campaign (Nate silver reference), partying and alcohol, late night outings, DC and govt buildings....in love with the whole book!",1,1
40539136,Lie With Me,Philippe Besson,"Besson, Philippe",Molly Ringwald,"=""1501197878""","=""9781501197871""",3,4.26,Scribner,Hardcover,149,2019,2017,2022/12/07,2022/10/12,,,read,,,"Very French, format was weird as it didn't have chapters but tons of page breaks (many for no reason/unnecessary), mostly just one man's long thought of about a high school crush/sexual relationship between two boys, ending isn't as powerful as I wanted or could have been, ends with the author meeting lover's son and the son saying his father died by suicide and left a letter intended for author saying at the end of high school they were better apart and author was destined for greatness and to leave",1,0
17895842,Returning to Reims,Didier Eribon,"Eribon, Didier","George Chauncey, Michael Lucey","=""1584351233""","=""9781584351238""",0,4.26,Semiotext(e),Paperback,256,2013,2009,,2022/11/21,to-read,to-read (#24),to-read,,,,0,0
13588394,The Signal and the Noise: Why So Many Predictions Fail—But Some Don't,Nate Silver,"Silver, Nate",,"=""159420411X""","=""9781594204111""",0,3.97,Penguin,Hardcover,544,2012,2012,,2022/11/07,to-read,to-read (#23),to-read,,,,0,0
41473872,"I Wish You All the Best (I Wish You All the Best, #1)",Mason Deaver,"Deaver, Mason",,"=""""","=""""",0,4.18,Push,Hardcover,329,2019,2019,,2022/11/07,to-read,to-read (#22),to-read,,,,0,0
54173267,Happy Hour,Marlowe Granados,"Granados, Marlowe",,"=""1989919006""","=""9781989919002""",0,3.55,Flying Books,Paperback,280,2020,2020,,2022/11/04,"to-read, lost-twenties","to-read (#21), lost-twenties (#5)",to-read,,,,0,0
30962053,The Idiot,Elif Batuman,"Batuman, Elif",,"=""1594205612""","=""9781594205613""",0,3.68,Penguin Press,Hardcover,423,2017,2017,,2022/11/04,"to-read, lost-twenties","to-read (#20), lost-twenties (#4)",to-read,,,,0,0
45289222,Writers & Lovers,Lily King,"King, Lily",,"=""""","=""""",0,4.04,Grove Press,Hardcover,320,2020,2020,,2022/11/04,"to-read, lost-twenties","to-read (#19), lost-twenties (#3)",to-read,,,,0,0
46041465,Everything I Know About Love,Dolly Alderton,"Alderton, Dolly",,"=""0062968785""","=""9780062968784""",0,4.07,Harper,Hardcover,368,2020,2018,,2022/11/04,"to-read, lost-twenties","to-read (#18), lost-twenties (#2)",to-read,,,,0,0
341879,Just Kids,Patti Smith,"Smith, Patti",,"=""006621131X""","=""9780066211312""",0,4.20,Ecco,Hardcover,304,2010,2010,,2022/11/04,"to-read, lost-twenties","to-read (#17), lost-twenties (#1)",to-read,,,,0,0
56347310,Secret City: The Hidden History of Gay Washington,James Kirchick,"Kirchick, James",,"=""1627792325""","=""9781627792325""",0,4.19,Henry Holt and Co.,Hardcover,848,2022,2022,,2022/10/28,to-read,to-read (#16),to-read,,,,0,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",0,4.37,Avery,Kindle Edition,319,2018,2018,,2022/10/18,to-read,to-read (#15),to-read,,,,0,0
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm","Barry Fox, Irina Henegar","=""0316010669""","=""9780316010665""",0,3.96,Back Bay Books,Paperback,296,2007,2005,,2022/10/18,to-read,to-read (#14),to-read,,,,0,0
25489625,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""""","=""""",0,4.40,Spiegel & Grau,Hardcover,152,2015,2015,,2022/10/18,to-read,to-read (#13),to-read,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.37,Vintage,Paperback,512,2015,2011,,2022/10/18,to-read,to-read (#12),to-read,,,,0,0
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",0,4.33,Penguin Books,Paperback,462,2019,2016,,2022/10/18,to-read,to-read (#11),to-read,,,,0,0
53088141,More Happy Than Not,Adam Silvera,"Silvera, Adam",Angie Thomas,"=""164129194X""","=""9781641291941""",0,3.97,Soho Teen,Paperback,352,2020,2015,,2022/10/17,to-read,to-read (#10),to-read,,,,0,0
59334639,Imagine a City: A Pilot's Journey Across the Urban World,Mark Vanhoenacker,"Vanhoenacker, Mark",,"=""0525657509""","=""9780525657507""",0,3.67,Knopf,Hardcover,416,2022,2022,,2022/10/13,to-read,to-read (#9),to-read,,,,0,0
67699,The Charioteer,Mary Renault,"Renault, Mary",,"=""0375714189""","=""9780375714184""",0,4.11,Vintage Books,Paperback,347,2003,1953,,2022/10/12,to-read,to-read (#8),to-read,,,,0,0
12000020,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,"Sáenz, Benjamin Alire",,"=""1442408928""","=""9781442408920""",0,4.33,Simon & Schuster Books for Young Readers,Hardcover,390,2012,2012,,2022/10/12,to-read,to-read (#7),to-read,,,,0,0
3103,Maurice,E.M. Forster,"Forster, E.M.",,"=""0393310329""","=""9780393310320""",0,4.07,W. W. Norton  Company,Paperback,256,2005,1971,,2022/10/12,to-read,to-read (#6),to-read,,,,0,0
406235,Giovanni's Room,James Baldwin,"Baldwin, James",,"=""""","=""""",0,4.31,Laurel,Paperback,224,1988,1956,,2022/10/12,to-read,to-read (#5),to-read,,,,0,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.05,Penguin Press,Hardcover,246,2019,2019,,2022/10/12,to-read,to-read (#4),to-read,,,,0,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",0,4.12,Random House: Modern Library,Paperback,272,2004,1890,,2022/10/12,to-read,to-read (#3),to-read,,,,0,0
11899,The Hours,Michael Cunningham,"Cunningham, Michael",,"=""0312305060""","=""9780312305062""",0,3.95,Picador,Paperback,230,2002,1998,,2022/10/12,to-read,to-read (#2),to-read,,,,0,0
50225678,"Boyfriend Material (London Calling, #1)",Alexis  Hall,"Hall, Alexis",,"=""1728206146""","=""9781728206141""",0,4.04,Sourcebooks Casablanca,Paperback,425,2020,2020,,2022/10/12,to-read,to-read (#1),to-read,,,,0,0
33385229,They Both Die at the End,Adam Silvera,"Silvera, Adam",,"=""0062457799""","=""9780062457790""",3,3.79,Quill Tree Books,Hardcover,389,2017,2017,,2022/10/12,,,read,,,,1,0
